155.138.214.2:5000,0,167.179.118.65:5000,95.179.145.141:5000
167.179.118.65:5000,1,155.138.214.2:5000,95.179.145.141:5000
95.179.145.141:5000,2,149.28.149.140:5000,95.179.251.238:5000
149.28.149.140:5000,3,95.179.251.238:5000,139.180.171.51:5000
95.179.251.238:5000,4,155.138.214.2:5000,139.180.171.51:5000
139.180.171.51:5000,5,167.179.118.65:5000,95.179.145.141:5000
